NomSubEstacao,NumCoordESub,NumCoordNSub
TRES CORACOES 2,-4533,-2166
JOCKEY,-4277,-508
IACU,-4021,-1276
CENTRO,-6068,282
SÃO BORJA 3 - COUDELARIA,-5556,-2881
SAO JOAO EVANGELISTA,-4276,-1854
ARACATUBA 2 BAGUACU,-5043,-2122
SATELITE,-4275,-506
RENASCENÇA,-4275,-511
SENHOR DO BONFIM,-4019,-1045
AFOGADOS DA INGAZEIRA,-3763,-776
"SE MIRASSOL DO OESTE 34,5 KV",-5810,-1567
SE SINOP 138 KV,-5554,-1189
LAP01,-4786,-2307
TAT01,-4786,-2334
CABO,-3505,-829
SE SINOP DISTRITO INDUSTRIAL 138 KV,-5552,-1195
CAMBUQUIRA 1,-4528,-2186
UH SALTO GRANDE,-4272,-1912
Papucaia,-4272,-2258
SAO PEDRO DO PIAUI,-4272,-591
PONSA,-3504,-755
ITUVERAVA 2 CATU,-4782,-2032
TAT02,-4782,-2332
USINA TRES MARIAS,-4526,-1821
CAMPO BELO,-4526,-2089
SE SINOP CENTRO 138 KV,-5549,-1184
SARANDI,-5293,-2794
BANDEIRANTES,-5037,-2310
SAO LUIZ DOS MONTES BELOS,-5037,-1651
RIBEIRAO PRETO 1,-4781,-2120
BOM DESPACHO 2,-4525,-1975
TRES CORACOES 1,-4525,-2171
TABOCA,-4269,-508
Conquista,-4269,-2226
RIB PRETO 12 SUL,-4780,-2122
VITORINO FREIRE,-4524,-428
SE UHE ISAMU IKEDA I,-4779,-1070
RIB PRETO 8 IPANEMA,-4779,-2111
MARTINHO CAMPOS,-4523,-1933
SE BRASNORTE 138 KV,-5802,-1212
BIRIGUI 2 GUARANI,-5034,-2128
NEPOMUCENO,-4522,-2124
RIO CASCA,-4266,-2022
Cachoeira de Macacu,-4266,-2248
SUBESTA3,-3754,-1056
CAMARAGIBE,-3498,-801
FIRMINOPOLIS,-5033,-1659
PEDRA DO INDAIA,-4521,-2027
BAIXA GRANDE DO RIBEIRO,-4521,-789
SETD INFLUENCIA,-4265,-2188
JEQUIE  II,-4009,-1387
TABIRA,-3753,-760
TAINHAS,-5032,-2927
IGARAPAVA 1,-4776,-2004
CORONEL FABRICIANO,-4264,-1953
TAPERA 1,-5287,-2863
BRAUNA 1,-5031,-2149
Rio Bonito,-4263,-2271
JEQUIE  I,-4007,-1386
CAXANGA,-3495,-803
PONTEZINHA,-3495,-823
